v,vw,o,c,h,l,t,n,timestamp
32670706.0,329.4477,334.83,329.01,335.2,326.12,1641272400000,517992,2022-01-04 05:00:00
40054325.0,320.0278,325.86,316.38,326.07,315.98,1641358800000,640413,2022-01-05 05:00:00
39632144.0,315.2052,313.15,313.88,318.7,311.49,1641445200000,628047,2022-01-06 05:00:00
32710400.0,313.7812,314.15,314.04,316.5,310.09,1641531600000,499823,2022-01-07 05:00:00
44273717.0,309.9294,309.485,314.27,314.72,304.69,1641790800000,692526,2022-01-10 05:00:00
29386774.0,314.2093,313.38,314.98,316.61,309.89,1641877200000,421384,2022-01-11 05:00:00
34372217.0,319.4289,319.67,318.27,323.41,317.08,1641963600000,498637,2022-01-12 05:00:00
45365979.0,309.6876,320.4658,304.8,320.88,304.0,1642050000000,712340,2022-01-13 05:00:00
39844762.0,307.9922,304.25,310.2,310.82,303.75,1642136400000,527079,2022-01-14 05:00:00
42204112.0,304.6894,304.07,302.65,309.8,301.74,1642482000000,658678,2022-01-18 05:00:00
45933855.0,308.2993,306.29,303.33,313.9093,302.7,1642568400000,680162,2022-01-19 05:00:00
35380675.0,307.057,309.07,301.6,311.6494,301.14,1642654800000,552351,2022-01-20 05:00:00
57984403.0,299.621,302.685,296.03,304.11,295.61,1642741200000,887179,2022-01-21 05:00:00
86025393.0,288.8074,292.2,296.37,297.11,276.05,1643000400000,1302281,2022-01-24 05:00:00
72848368.0,288.3988,291.52,288.49,294.99,285.17,1643086800000,1113735,2022-01-25 05:00:00
90428853.0,300.3828,307.985,296.71,308.5,293.03,1643173200000,1195374,2022-01-26 05:00:00
53481317.0,302.4325,302.66,299.84,307.3,297.93,1643259600000,741935,2022-01-27 05:00:00
49743698.0,302.7982,300.23,308.26,308.48,294.45,1643346000000,696183,2022-01-28 05:00:00
46444536.0,309.4288,308.95,310.98,312.38,306.37,1643605200000,645244,2022-01-31 05:00:00
40950396.0,307.3995,310.41,308.76,310.63,305.1293,1643691600000,598895,2022-02-01 05:00:00
36635989.0,312.2137,309.63,313.46,315.12,308.88,1643778000000,513102,2022-02-02 05:00:00
43729972.0,305.2465,309.49,301.25,311.23,299.96,1643864400000,585711,2022-02-03 05:00:00
35093302.0,305.3962,300.21,305.94,308.8,299.97,1643950800000,509726,2022-02-04 05:00:00
28533286.0,303.3434,306.17,300.95,307.84,299.9,1644210000000,426621,2022-02-07 05:00:00
32314988.0,303.6698,301.25,304.56,305.561,299.95,1644296400000,423786,2022-02-08 05:00:00
31280171.0,309.6261,309.865,311.21,311.93,307.39,1644382800000,444035,2022-02-09 05:00:00
45386199.0,304.061,304.04,302.38,309.12,300.7,1644469200000,608483,2022-02-10 05:00:00
39160620.0,298.1235,303.19,295.04,304.29,294.22,1644555600000,615557,2022-02-11 05:00:00
36359487.0,294.405,293.77,295.0,296.76,291.35,1644814800000,539722,2022-02-14 05:00:00
27370688.0,299.5681,300.008,300.47,300.8,297.02,1644901200000,400816,2022-02-15 05:00:00
29970121.0,297.4874,298.365,299.5,300.87,293.68,1644987600000,415675,2022-02-16 05:00:00
32461580.0,292.994,296.36,290.73,296.8,290.0,1645074000000,507106,2022-02-17 05:00:00
34256508.0,289.1356,293.05,287.93,293.86,286.305,1645160400000,554368,2022-02-18 05:00:00
41736117.0,287.6534,285.0,287.72,291.54,284.5,1645506000000,605791,2022-02-22 05:00:00
37797167.0,284.2303,290.18,280.27,291.7,280.1,1645592400000,647355,2022-02-23 05:00:00
56989686.0,285.4542,272.51,294.59,295.16,271.52,1645678800000,809370,2022-02-24 05:00:00
32546721.0,295.6957,295.14,297.31,297.63,291.655,1645765200000,521051,2022-02-25 05:00:00
